,Grad Type,Iteration Number,Lr,Penalty type,Time,RMSE,MAE
0,jax,1,1e-05,,0.8515610694885254,17.621246,16.954393
1,jax,1,1e-05,l2,0.21879816055297852,17.621248,16.954393
2,jax,1,0.005,,0.06935405731201172,11.38932,10.91462
3,jax,1,0.005,l2,0.08861589431762695,11.346141,10.871823
4,jax,1,0.1,,0.06859016418457031,32.897556,31.386879
5,jax,1,0.1,l2,0.08511185646057129,41.79998,39.73423
6,jax,5,1e-05,,0.3409428596496582,17.56109,16.8969
7,jax,5,1e-05,l2,0.41824817657470703,17.56109,16.896902
8,jax,5,0.005,,0.34652185440063477,4.161519,3.3900337
9,jax,5,0.005,l2,0.4126756191253662,4.17675,3.405737
10,jax,5,0.1,,0.333615779876709,1020.5567,952.6685
11,jax,5,0.1,l2,0.4187202453613281,776.9825,725.5124
12,jax,50,1e-05,,3.412736654281616,16.899721,16.264128
13,jax,50,1e-05,l2,3.6012260913848877,16.899794,16.264198
14,jax,50,0.005,,3.2795708179473877,3.84792,3.041896
15,jax,50,0.005,l2,4.06981635093689,3.848854,3.046539
16,jax,50,0.1,,3.0749247074127197,inf,2.9801457e+18
17,jax,50,0.1,l2,3.9482805728912354,inf,5.039954e+18
18,manual,1,1e-05,,0.011269092559814453,17.621245969861494,16.954392183549494
19,manual,1,1e-05,l2,0.002566099166870117,17.621245911395008,16.954392127676005
20,manual,1,0.005,,0.0025272369384765625,11.359254780161192,10.884823053145709
21,manual,1,0.005,l2,0.0025246143341064453,11.372130888186128,10.89758475980646
22,manual,1,0.1,,0.0023736953735351562,42.73844239069114,40.61307851934851
23,manual,1,0.1,l2,0.002375364303588867,44.8646251232942,42.60362894884533
24,manual,5,1e-05,,0.010991811752319336,17.56108975073025,16.89689897113441
25,manual,5,1e-05,l2,0.011027336120605469,17.561090293887606,16.896899490291855
26,manual,5,0.005,,0.010972976684570312,4.153845170038366,3.38199366964221
27,manual,5,0.005,l2,0.011375904083251953,4.195160146221005,3.424294765374709
28,manual,5,0.1,,0.011041641235351562,889.4623488387999,830.4107748951595
29,manual,5,0.1,l2,0.011069297790527344,1247.595821125454,1164.4035724608761
30,manual,50,1e-05,,0.10996055603027344,16.899720497510287,16.26412785202224
31,manual,50,1e-05,l2,0.10840058326721191,16.899793532054847,16.264197800359216
32,manual,50,0.005,,0.10684776306152344,3.8479071453287093,3.0409248942140237
33,manual,50,0.005,l2,0.10871195793151855,3.848380961264671,3.044735703016317
34,manual,50,0.1,,0.10494780540466309,2.263945353058043e+18,2.111325681582465e+18
35,manual,50,0.1,l2,0.10887336730957031,1.6450481059826915e+19,1.5341502430296527e+19
