,Iteration Number,Lr,Penalty type,Beta,Time,RMSE,MAE
0,1,1e-05,,0.8,3.988003969192505,40.05129042853782,38.096166622972866
1,1,1e-05,,100.0,3.926039934158325,15.088933442013047,12.840230827307357
2,1,1e-05,l2,0.8,3.091001033782959,55.172677499832645,50.41038464311734
3,1,1e-05,l2,100.0,3.667466402053833,16.080003245886378,15.477951921203173
4,1,0.005,,0.8,3.0259084701538086,3.983070371284862,3.136690158067453
5,1,0.005,,100.0,2.132934808731079,28.1397035046847,26.913849711796445
6,1,0.005,l2,0.8,2.096527099609375,12.78719300458391,10.770155403286742
7,1,0.005,l2,100.0,2.1452383995056152,4.276513235429902,3.5052461689889323
8,1,0.1,,0.8,2.0967776775360107,12.108995086406951,11.62499785085577
9,1,0.1,,100.0,2.138540506362915,27.480906476343673,26.293496642808048
10,1,0.1,l2,0.8,2.2310538291931152,45.29803619812459,43.00930290786844
11,1,0.1,l2,100.0,2.1649699211120605,43.31499658333797,41.15292862315199
12,5,1e-05,,0.8,2.163731336593628,56.70341726873514,53.676603734192355
13,5,1e-05,,100.0,2.2229604721069336,18.85977174060029,16.316846331909517
14,5,1e-05,l2,0.8,2.2347002029418945,9.798247197368955,8.099797660358748
15,5,1e-05,l2,100.0,2.2514963150024414,3.867575974390531,3.0745715105377394
16,5,0.005,,0.8,2.2781107425689697,8.273200775573727,6.7735947967364005
17,5,0.005,,100.0,2.3528387546539307,22.175281287859423,21.284294850803388
18,5,0.005,l2,0.8,2.5004079341888428,16.250873173948012,15.6420188580497
19,5,0.005,l2,100.0,2.520779609680176,4.498743184417022,3.723124455447051
20,5,0.1,,0.8,2.580688714981079,11.72744023491321,9.819472681951499
21,5,0.1,,100.0,2.829063892364502,3.976750622234949,3.1903093266505977
22,5,0.1,l2,0.8,2.8213095664978027,11.68098347661323,9.7776640341651
23,5,0.1,l2,100.0,2.684328317642212,11.436269272199207,9.557093357402398
24,50,1e-05,,0.8,2.7221508026123047,3.8659487619985056,3.0720272287630874
25,50,1e-05,,100.0,2.7247891426086426,21.334566114278932,18.65240911331854
26,50,1e-05,l2,0.8,3.319427490234375,37.869665836800124,36.05160814107492
27,50,1e-05,l2,100.0,2.789741277694702,37.43242084033777,35.64169280211944
28,50,0.005,,0.8,3.6234939098358154,4.23090286089276,3.3101638510509153
29,50,0.005,,100.0,2.9232754707336426,4.091753624635325,3.211368433474813
30,50,0.005,l2,0.8,4.245725870132446,28.55079021820217,25.465524898606827
31,50,0.005,l2,100.0,2.857210397720337,34.22646943690687,30.799155482222364
32,50,0.1,,0.8,2.8065857887268066,4.87042323909445,4.120416778539629
33,50,0.1,,100.0,3.4240684509277344,20.06470088320421,17.44889881504474
34,50,0.1,l2,0.8,3.134131669998169,5.85966342669242,5.168984837351034
35,50,0.1,l2,100.0,2.7609317302703857,26.247256339490903,23.295736297741666
